name,tweets,followers_count
s_baumgarten2,0,16
DE_trud,19,24
Cathy__Brown,10100,1057
kgburns747,0,1
sayakosmithedu,0,1
SamirAz63644793,12,105
vanyaboiko,48,5
thatfarmgirl30,65,16
Zac_1995x,1,0
realZASmith,15,48
RaleighEduCoach,6,19
jvTNbiX0aPfvbFl,7,1
UpDownSTL,68,159
cursedbikes,25,6
CLT_Exam,301,694
BejanMahmud,287,103
aliraza2529,33,69
DoD_HDIAC,9057,1086
young35219240,0,1
silverfinware,77,4
venkat_amrutha,11,7
EnnaDancy,51,29
KadanYoav,0,0
umflintoutreach,1027,1418
JosephWBehm,21,2
blaze_lowe,1,4
annalisa_p_,1626,610
LYTECollective,950,409
NYU_OT,329,360
SKEK31208801,32,9
MugororaD,5,1
nazubair,42,15
OsamaTayyar,12,10
LeafAndSnow,101,71
pannnndar,2,0
stevie_mack,19,58
taarique94,817,212
VChychrun,5,5
FSU_SocialWork,5717,1940
_lia_white_,0,3
LauZavaletaLemu,342,165
hyphy_em,330,8
andrew29swanson,450,12
YouEnPoint,4264,1912
NCMEF,24,10
RoyalAuthors,53,14
quclbl,0,2
FarfanTressa,1,0
Aslimundel,1228,81
liubingxin96,0,4
proteinasekate,0,4
Felicity_1116,9,0
BrookeMargK,365,26
Lamplightercstg,6,2
_joshkeller,4,26
Tomasz0076,154,0
JRWildlife,3212,2031
DGEORGESTL,47,221
GerriSm95080615,0,20
exploremorePNW,77,70
iccforum,33,116
SchweitzeyB,741,771
GradCareerFest,400,82
9BigJoe9,114,266
RachelMintz10,7,18
gmkumar_,71,37
Cauculation,1,18
mariaRdz365,175,17
CNelsonChi,3,19
HeatherLaws4,922,56
EEC_0728,44,27
robperf,211,9
Fahmisirafi,5,32
srinjoy92,62,32
najlakfoury,9,8
lukehaselman,222,796
kessoabuladze,2,10
JesusChristIsT6,1,0
ShawneeWojo,2389,152
sghosh4588,26,37
Ebot75,49,10
KevinBe61921365,2,3
stephaniejerger,25,19
AlbertC97897252,0,0
christymsrd,218,32
bang43744382,0,0
taymharris,29,66
vnatesan,4,13
kbbolch,142,112
kcmilani,3309,227
AkashSharmaMD,1044,419
puneetsinghmd,475,546
Sarareiksara,0,8
AD_CortiSTL,826,41
Archjohani,1916,571
AnthonyHagele,30,37
_sabrinabeltran,19,36
cbaArchitects,8,4
ShradarMorgan,775,102
eliseroselouise,975,634
one2onemaths,1278,574
jbisoe,0,4
P3HigherEd,107,125
VillaRoweStore,60,3
FXREVERLY,2845,299
MahjoubLab,398,646
alemayehu_,0,9
SKolbari,6,13
smwctp,73,144
liv26462302,1,0
anthony80331326,134,45
kevinhowdy,0,0
Gemma_Crous,3479,559
TheLempMansion,1869,1050
cohenbioscience,5835,2636
kulmc,2753,8637
lindalh,8,1
LadakAsma,307,285
JEllisChurch,104,15
group_ross,22,2
niorg2606,406,28
Jennife50029304,58,18
314_ballet,26,20
JonBranfman,486,214
HancockAdviser,12,23
Karyan1Ryan,15535,722
MikeMontanaMD,3,3
